ItemID,ItemNum,Week,RequestedQty,DelinquentBacklog,ForecastedSales,TotalDemand,Source
25131,SR41110,4/27/2020,550,110,,660,Demand
25135,AS65003,5/4/2020,575,,,575,Demand
25125,AS35013,5/11/2020,560,,400,960,Demand
25120,AS89035,5/18/2020,545,,356,901,Demand
25120,AS89035,5/25/2020,500,,350,850,Demand
25131,SR41110,6/1/2020,550,,350,900,Demand
25135,AS65003,6/8/2020,625,,350,975,Demand
25119,AS65003,6/15/2020,522,,350,872,Demand
25116,AS35007,4/27/2020,450,110,,560,Demand
25124,AS35007,5/4/2020,455,,,455,Demand
25126,AS25100,5/11/2020,445,,400,845,Demand
25129,CM42055,5/18/2020,425,,356,781,Demand
25137,CM42055,5/25/2020,400,,350,750,Demand
25116,AS35007,6/1/2020,500,,350,850,Demand
25129,CM42055,6/8/2020,510,,350,860,Demand
25119,AS65003,6/15/2020,505,,350,855,Demand
25131,SR41110,4/27/2020,450,110,,560,Demand
25132,AS35007,5/4/2020,455,,,455,Demand
25122,SR41101,5/11/2020,445,,400,845,Demand
25113,CM42055,5/18/2020,425,,356,781,Demand
25118,AS25100,5/25/2020,400,,350,750,Demand
25115,SR41110,6/1/2020,500,,350,850,Demand
25128,AS89035,6/8/2020,510,,350,860,Demand
25111,AS65003,6/15/2020,505,,350,855,Demand
25138,SR41101,,,,,,
